mon,mean,min,max,par,lin_trn_ann,lin_trn_pval_ann,sp_lin_trn1950,sp_lin_trn1980,ano_rnk_pos,yr
Jan,-0.38,-2.5,1.57,tmean,0.03,0,0.029966823773442983,0.024252065086578192,8,2024
Feb,0.8,-2.11,5.24,tmean,0.03,0,0.029966823773442983,0.024252065086578192,8,2024
Mar,0.62,-1.4,2.68,tmean,0.03,0,0.029966823773442983,0.024252065086578192,8,2024
Apr,0.56,-1.2,3.56,tmean,0.03,0,0.029966823773442983,0.024252065086578192,8,2024
May,0.34,-1.39,2.87,tmean,0.03,0,0.029966823773442983,0.024252065086578192,8,2024
Jun,-0.15,-1.7,2.26,tmean,0.03,0,0.029966823773442983,0.024252065086578192,8,2024
Jul,2.44,-0.92,4.99,tmean,0.03,0,0.029966823773442983,0.024252065086578192,8,2024
Aug,1.53,-0.04,2.73,tmean,0.03,0,0.029966823773442983,0.024252065086578192,8,2024
Sep,1.5,-0.32,3.73,tmean,0.03,0,0.029966823773442983,0.024252065086578192,8,2024
Oct,0.37,-1.27,2.24,tmean,0.03,0,0.029966823773442983,0.024252065086578192,8,2024
Nov,-0.28,-2.76,2.47,tmean,0.03,0,0.029966823773442983,0.024252065086578192,8,2024
Dec,4.18,0.26,7.5,tmean,0.03,0,0.029966823773442983,0.024252065086578192,8,2024
ann_2024,0.96,0.05,2.07,tmean,0.03,0,0.029966823773442983,0.024252065086578192,8,2024
sp_trn_2024,0.03,0.01,0.06,tmean,0.03,0,0.029966823773442983,0.024252065086578192,8,2024
